0,Orange juice doesn't taste good on cereal.,Orange juice is poured in a glass.,Orange juice does not taste good on cereal.
1,Apple can not be drunk,An apple is a whole food and unable to be drunk without being juiced.,He eats an apple
2,"100,000 miles is way to long for one person to be able to run in one day.",This is not physically possible to achieve,"No way can someone run 100,000 miles in a day"
3,A human has not stings,I do not have a stinger.,"mosquitos sting people, not the other way around"
4,A giraffe is not a human being.,"A giraffe is an animal, not human.",A giraffe is an animal.
5,A person cannot walk into a normal closet because it is smaller than a walk-in closet.,A walk-in closet is larger than a normal closet.,A walk in closet is larger.
6,"Chocolate is a food, not a transportation unit",You eat chocolate not ride it,cant ride chocolate
7,HORSE RAN FASTER THAN HER,A person is too slow to race a horse.,A horse is much faster than a person.
8,a jug is so small than an elephant,An elephant won't fit into a jug - they are too big,The jug would break under the weight.
9,Only humans play volleyball,Dogs don't typically play volleyball.,Only people can play volleyball.
10,No egg eat kids.,Eggs don't eat anything at any time,Kids eat eggs on Easter.
11,A notebook is a solid and by definition a person can only drink a liquid.,You can't drink paper.,NOTEBOOK IS A OBJECT IT'S NOT A DRINK SO IT CANNOT DRINK
12,Police station is a place to file criminal complaints.,You can't get cash at a police station.,Cash isn't available at the police station
13,Only owner could price the goods,It is not usual for an employee to be given this level of responsibility,The employee doesn't have authority to price goods
14,hat usually wear on the head,A hat is not worn on hands.,Hats are for your head.
15,A house is too big to throw.,You cannot throw a house.,A house is too large to throw.
16,Caterpillars have mouths while rose buds don't,Rose buds are plants and can't eat animals.,Plants don't eat bugs
17,Moses has been dead for a long time and could not have heard a concert yesterday.,Moses isn't alive.,Moses is not alive.
18,a doctor does not fix computers,Doctors fix people not computers.,"Doctors fix people, not computers"
19,Bleach is used for cleaning.,"Usually people don't drink bleach, it's certainly not advised to do so",bleach would kill you if you drank it
20,Shoe can be worn in feet only,Shoes are worn on feet.,shoes are for feet not heads
21,Nuclear reactor is way too big to be placed in a box.,A person cannot pick up a nuclear reactor.,A nuclear reactor is too big to fit in a box.
22,Chairs can't walk,Chair is not use for walk. It is create uncomfortable situation.,A chair isn't alive.
23,Roar is not a dog characteristic.,A dog could bark at a cat in the street,dogs don't roar
24,"lawnmowers are for cutting grass, not carpets",He vacuumed the carpet,You don't trim carpets.
25,A bike is ridden not driven,"You ride a bike, not drive it",You ride a bike.
26,An elephant is a wild animal,Elephants do not typically wear clothes,Elephants aren't for dressing up.
27,A football is thing to play with not a thing to eat,"Footballs are not food, and therefore are not cooked.",You cannot cook a football.
28,Car is a mode of land of transport,Cars are not good modes of transport,Cars do not float in water.
