id,sent0,sent1
1,he put an elephant into the fridge,he put a turkey into the fridge
2,my sister eats an apple after breakfast every day,my sister eats a stone after breakfast every day
3,money can be used for buying cars,money can be used for buying stars
4,New York is located in the northeastern part of USA,USA is located in the northeastern part of New York
5,a man can better see stars and the moon in daytime,a man can hardly see stars and the moon in daytime
6,he was sent to a restaurant for treatment after a car crash,he was sent to a hospital for treatment after a car crash
7,his mother became satisfied after he got good grades in the math exam,his mother became angry after he got good grades in the math exam
8,cans are usually made of gold,cans are usually made of aluminum
9,I put my desktop into my suitcase before departure,I put my laptop into my suitcase before departure
10,I walk to the Moon,I walk to the school
11,I work 25 hours a day,I work 8 hours a day
12,I'm hungry for water,I'm hungry for food
13,this bucket can hold one gallon of water,this basket can hold one gallon of water
14,this man can jump across a mountain easily,this man can jump across a hurdle easily
15,I put the rubbish into a trash can,I put the rubbish into a mailbox
16,most children hate candies,most children love candies
17,most people become wiser after drinking a lot alcohol,most people become more stupid after drinking a lot alcohol
18,a salad usually contains grass,a salad usually contains lettuce
19,computers are everywhere in a forest,trees are everywhere in a forest
20,my family used to watch TV together after dinner,my family used to watch radio together after dinner
21,I became hungry after a whole day starvation,I became sleepy after a whole day starvation
22,he died after taking poisons,he cured after taking poisons
23,I changed my direction when passing a crossroads,I changed my car when passing a crossroads
24,I had a sweet dream when I was asleep yesterday,I had a sweet dream when I was awake yesterday
25,my dad drinks a tin of cola everyday,my dad grows a tin of cola everyday
26,Alice became joyful after felt left out by her friends,Alice became sad after felt left out by her friends
27,Bob played hard to prepare for the examination,Bob studied hard to prepare for the examination
28,I was humiliated by him so I broke up with him,I was humiliated by him so I had better friendship with him
29,I cooked my meal at the restaurant,I paid for my meal at the restaurant
30,Bob loves to play tennis at the indoor stadium,Bob loves to play tennis at the sports store
31,I love eating seafood and I love eating chicken,I love eating seafood so I love eating chicken
32,I am tall so I have an advantage in basketball,I am short so I have an advantage in basketball
33,mother sings a lullaby to send her baby asleep,mother sings a rock-and-roll to send her baby asleep
34,this apple is a beautiful golden green color,this apple is a beautiful light blue color
35,i call my mum with a phone,i call my mum with a drum
36,i like drinking mercury after dinner,i like drinking coffee after dinner
37,i put a bar of soap on a birthday cake,i put a candle on a birthday cake
38,sugar is the main ingredient in candy,plastic is the main ingredient in candy
39,he put some soy sauce to make the noodles taste better,he put some soy sauce to make the robot taste better
40,he is drunk soon after drinking some gin,he is drunk soon after drinking some water
41,sailing is an expensive hobby,walking is an expensive hobby
42,managers greet with each other and begin to bark,managers greet with each other and begin to talk
43,teachers teach geography with a globe,teachers teach sports with a globe
44,a funeral is a place for mourning,a funeral is a place for laughter
45,children have fun in the amusement park,children have fun in the cemetery
46,Mary eats at a restaurant to do the dishes,Mary eats at a restaurant to avoid doing the dishes
47,wool is a form of clothing material,wool is a form of eating material
48,mum is cooking a delicious meal in the kitchen,mum is cooking a delicious meal in the bedroom
49,cars on the freeway multiply during holidays,cars on the railway multiply during holidays
50,beef cooked on the drill tastes delicious,beef cooked on the grill tastes delicious
51,Jerry takes a visiting card from the rolodex to keep in touch with Tom,Jerry takes a tissue from the rolodex to keep in touch with Tom
52,pictures can be kept on films temporarily,pictures can be kept on films eternally
53,we use a handsaw to cut wood,we use a penknife to cut wood
54,human beings can travel to the moon by spacecraft,human beings can travel to the moon by bus
55,she is happy to play with her friends,she is sad to play with her friends
56,smartphones nowadays are huge,smartphones nowadays are small
57,we took television sets to commemorate important days,we took photos to commemorate important days
58,i park my car in the living room,i park my car in the garage
59,he turns on the radio to listen to music,he turns on the light to listen to music
60,Lily opened the window to let some fresh air in,Lily opened the wall to let some fresh air in
61,a giant panda is a black and white mammal found in Asia,a giant panda is a black and white bird found in Asia
62,people put on summer dresses when summer comes,people put on summer dresses when winter comes
63,smoking is bad for health,smoking is good for health
64,a power socket has a copper housing for safety,a power socket has a plastic housing for safety
65,it takes him an hour to tear himself apart,it takes him an hour to clean himself up
66,i write a letter to tell her i am fine,i rip a letter to tell her i am fine
67,a dining room is a place where people sleep,a dining room is a place where people eat
68,he breaks the iron board with a bare hand,he breaks the wooden board with a bare hand
69,supermarkets cut down prices for a year-end clearance,supermarkets rise prices for a year-end clearance
70,the farm is destroyed by a tomato,the farm is destroyed by a tornado
71,he is so famous that everybody has heard of him,he is so famous that nobody has heard of him
72,i like her songs because she is a good singer,i like her songs because she is a good cook
73,there are many aquatic plants in the pond,there are many trees in the pond
74,the moon is a planet of the solar system,the earth is a planet of the solar system
75,we stopped at the power plant because we needed gasoline,we stopped at the filling station because we needed gasoline
76,Lily goes to the cinema to watch a movie,Lily goes to the cinema to listen to a concert
77,centigrade is a measure of acidity,centigrade is a measure of temperature
78,the ancients used a compass as a guidance,the ancients used a satellite as a guidance
79,the fire was caused by a lighted cigarette,the fire was caused by a glass of water
80,December is the 12th month of a year,December is the 13th month of a year
81,a prince is a piece used in the game of chess,a king is a piece used in the game of chess
82,maid is an important member of a family,mother is an important member of a family
83,he opens the door with a lock,he opens the door with a key
84,a sea is a large body of salt water,a sea is a large body of sweet water
85,a rooster can lay eggs,a hen can lay eggs
86,farmers are growing mushrooms under the sun,farmers are growing crops under the sun
87,Tom buys his girlfriend a bunch of roses on Valentine's Day,Tom buys his girlfriend a bunch of carnations on Valentine's Day
88,soup is best eaten with a spoon,soup is best eaten with a fork
89,there are many fishes in the desert,there are many fishes in the sea
90,i fly to New York to see the Statue of Liberty,i fly to Paris to see the Statue of Liberty
91,nissan is a foreign plane manufacturer,nissan is a foreign car manufacturer
92,food is stored in the pan,food is stored in the fridge
93,the image of the cat seems to be reflected many times in the mirror,the image of the cat seems to be reflected many times in the glass
94,she goes traveling on holidays,she goes traveling on weekdays
