id,FalseSent,OptionA,OptionB,OptionC
1,he put an elephant into the fridge,an elephant is much bigger than a fridge,elephants are usually gray while fridges are usually white,an elephant cannot eat a fridge
2,my sister eats a stone after breakfast every day,stone is usually in round-shapes,no one eats stones,stone is too large for a girl's mouth
3,money can be used for buying stars,no one can get stars and sell them now,stars can be only seen in cloudless dark night,stars are too expensive for normal people
4,USA is located in the northeastern part of New York,New York is not the capital of USA,USA is a nation while New York is its ally,USA is a nation while New York is its city
5,a man can better see stars and the moon in daytime,the sun is much brighter than the moon and stars in the day time,the moon is much closer to the earth than the sun,the sun moves faster than the moon and stars
6,he was sent to a restaurant for treatment after a car crash,a restaurant does not have doctors or medical equipment,a restaurant is usually too noisy for a patient,there are different types of restaurants in the city
7,his mother became angry after he got good grades in the math exam,his mother wanted to take the exam herself,parents are always happy to see their children get good grades,his mother seldom used math in her daily time
8,cans are usually made of gold,gold is too expensive to make cans,gold is too bright to make cans,gold is too soft to make cans
9,I put my desktop into my suitcase before departure,I do not need my desktop anymore,suitcases are not big enough for a desktop,suitcases can only filled with clothes
10,I walk to the Moon,I don't know where the Moon is,the Moon's gravity is relatively small,the Moon is to far to walk to
11,I work 25 hours a day,I don't like stay up late,a day only has 24 hours,I'm too lazy to work
12,I'm hungry for water,I'm not that hungry,Water is necessary for our daily lives,Water is used to quench thirsty
13,this basket can hold one gallon of water,the basket is too small,baskets cannot hold water,baskets are made of wood
14,this man can jump across a mountain easily,this man cannot jump very far,this man lives in the mountain,a mountain is too big for a man to jump across
15,I put the rubbish into a mailbox,I do not want to deliver the rubbish,"Rubbish should be thrown into a trash can, rather than a mailbox",a mailbox is not big enough for any rubbish
16,most children hate candies,candies are sweet and children love sweet things,candies are bitter and children love bitter things,children are not allowed to eat candies freely by their parents
17,most people become wiser after drinking a lot alcohol,most drinkers do not drink enough alcohol,most people do not need alcohol to become wise,the alcohol makes drinker stupid
18,a salad usually contains grass,grass cannot be bought everywhere,human do not eat grass,only some salads contain grass
19,computers are everywhere in a forest,computers can shine while trees cannot,computers grow more slowly than trees,computers are not plants
20,my family used to watch radio together after dinner,radios are not interesting as TVs,radios are not big enough for a whole family,radios cannot be watched but only listened to
21,I became sleepy after a whole day starvation,starvation makes a man feel hungry rather than sleepy,I had slept too much,a whole day starvation was not enough
22,he cured after taking poisons,"suicide leads to death, rather than cure",some drugs may also be poisonous,he might be salvaged by doctors
23,I changed my car when passing a crossroads,we do not need change cars when passing a crossroads,cars intersect in a crossroads,changing cars in a crossroads is dangerous
24,I had a sweet dream when I was awake yesterday,people dream only when they sleep,I might have a nightmare then,being awake is not a sweet thing for me
25,my dad grows a tin of cola everyday,growing cola is not easy for my dad,cola is produced in the factory rather in the farm,only bottled cola can grow in farms
26,Alice became joyful after felt left out by her friends,feeling left out makes a person happy,feeling left out makes a person unhappy,joyful people will not feel left out
