Correct Statement,Incorrect Statement,Right Reason1,Confusing Reason1,Confusing Reason2,Right Reason2,Right Reason3
He poured milk on his cereal.,He poured orange juice on his cereal.,Orange juice doesn't taste good on cereal.,Orange juice is usually bright orange.,Orange juice is sticky if you spill it on the table.,Orange juice is poured in a glass.,Orange juice does not taste good on cereal.
He drinks milk.,He drinks apple.,Apple can not be drunk,Apple juice are very tasty and milk too,Apple cannot eat a human,An apple is a whole food and unable to be drunk without being juiced.,He eats an apple
Jeff ran a mile today,"Jeff ran 100,000 miles today","100,000 miles is way to long for one person to be able to run in one day.","Jeff is a four letter name and 100,000 has six numerical digest","100,000 miles is longer than 100,000 km.",This is not physically possible to achieve,"No way can someone run 100,000 miles in a day"
A mosquito stings me,I sting a mosquito,A human has not stings,A human is a mammal,A human is omnivorous,I do not have a stinger.,"mosquitos sting people, not the other way around"
A niece is a person.,A giraffe is a person.,A giraffe is not a human being.,Giraffes can drink water from a lake.,.Giraffes usually eat leaves.,"A giraffe is an animal, not human.",A giraffe is an animal.
A walk-in closet is larger than a normal closet.,A normal closet is larger than a walk-in closet.,A person cannot walk into a normal closet because it is smaller than a walk-in closet.,Walk-in closets are normal closets.,A person can sleep in a walk-in closet.,A walk-in closet is larger than a normal closet.,A walk in closet is larger.
I like to ride my bike,I like to ride my chocolate,"Chocolate is a food, not a transportation unit",Chocolate is delicious and bikes are not,My bike can't ride a chocolate,You eat chocolate not ride it,cant ride chocolate
A GIRL WON THE RACE WITH HER FRIEND,A GIRL WON THE RACE WITH HORSE,HORSE RAN FASTER THAN HER,GIRL HAVE BEAUTIFUL HAIR BUT THE HORSE DOESN'T HAVE,THE GIRL WEAR DRESS BUT THE HORSE DOESN'T HAVE .,A person is too slow to race a horse.,A horse is much faster than a person.
he pour water in to the jug,he put elephant into the jug,a jug is so small than an elephant,elephants is an animal and jug is a thing,jug is used for store things,An elephant won't fit into a jug - they are too big,The jug would break under the weight.
A girl plays volleyball,A dog plays volleyball,Only humans play volleyball,Dogs are not wild animals,Humans trust dogs,Dogs don't typically play volleyball.,Only people can play volleyball.
Kids find eggs on Easter.,Eggs eat kis on Easter.,No egg eat kids.,Easter has a lot of eggs.,Eggs are made for easter.,Eggs don't eat anything at any time,Kids eat eggs on Easter.
