id,sent0,sent1
0,He poured orange juice on his cereal.,He poured milk on his cereal.
1,He drinks apple.,He drinks milk.
2,Jeff ran a mile today,"Jeff ran 100,000 miles today"
3,A mosquito stings me,I sting a mosquito
4,A niece is a person.,A giraffe is a person.
5,A walk-in closet is larger than a normal closet.,A normal closet is larger than a walk-in closet.
6,I like to ride my chocolate,I like to ride my bike
7,A GIRL WON THE RACE WITH HER FRIEND,A GIRL WON THE RACE WITH HORSE
8,he put elephant into the jug,he pour water in to the jug
9,A girl plays volleyball,A dog plays volleyball
10,Eggs eat kis on Easter.,Kids find eggs on Easter.
11,Mark drank a notebook.,Mark drank water.
12,He went to the police station to withdraw cash.,He went to the bank to withdraw cash.
13,An owner can price goods,An employee can price goods
14,she wear bangles in the hand,she wear hat in the hand
15,My cousin throws the snowball to my brother.,My cousin throws the house to my brother.
16,The caterpillar eats the rose bud,Roses buds  eat caterpillars
17,Lisa played jazz music for Moses of the Old Testament yesterday.,Lisa played jazz music for the President of the USA yesterday.
18,the computer broke down and the doctor fixed it,the computer broke down and the technician will fix it
19,I drank bleach.,I drank water.
20,I usually wear a shoe on my head,I usually wear a shoes in my feet
21,My brother placed the car inside the box.,My brother placed the nuclear reactor inside the box.
22,She took the chair for a walk,She took the dog for a walk
23,A dog barked at a cat in the street.,A dog roared at a cat in the street.
24,He mowed the carpet,He mowed the tall grass
25,I drive a bike,I drive a car
26,I dress an elephant,I dress myself
27,I cook fish very well,I cook football very well
28,Car is a very good mode of water transport,Boat is a very good mode of water transport
29,a dog is taken to a veterinarian after getting sick,a dog is taken to a pool after getting sick
30,She rode her bike to the moon.,She rode her bike to the store.
31,A mobile phone shut down,A boy shuts down
32,He planted cucumber seeds in the couch.,He planted cucumber seeds in the garden.
33,I play games on my Gas stove,I play games on my laptop
34,I read stars,Stars read me
35,A boy turns off the door,A boy turns off the light
36,He read a very long window King Tut.,He read a  book about King Tut.
37,He lost his phone at the park.,He lost his phone in the mouth of a griffin.
38,Sara had a glass of water,Sara had a glass of petrol
39,he kept a juice bottle into the fridge,he kept a chair inside the fridge
40,I read a tiger,I read a book
41,I use internet on my radio,I use internet in my mobile
42,She drove her children to the moon.,She drove her children to the playground.
43,She drove to the grocery store.,She parachuted into the grocery store from a plane.
44,The fish swam in the desert.,The fish swam in the ocean.
45,There was a man walking in the snow.,There was a dead ice creature walking in the snow.
46,I swim under a tap,I swim in a swimming pool
47,A person eats tomatoes,A person eats mountains
48,Jane saw a giraffe at the zoo.,Jane saw a giraffe in her purse.
49,We use a clock to know the time,We use book to know the time
50,I was playing basketball with a ball,I was playing basketball with a rock
51,Mary took her dog for a walk,Mary took her moth for a walk
52,I like to listen podcasts as I commute,I like to listen colours as I commute
53,I run in the air,I run in the ground
54,There was a blonde woman riding a dragon.,There was a woman riding an elephant in Africa.
55,He ate the book,He ate an apple
56,Jake ate artificial mango,Jack ate mango
57,Baby is taking toys,Baby is taking dictionary
58,the school was open for summer,the school was open for fall
59,The chocolate cried,The chocolate melted
60,There are commercials in the middle of a television program,There are barbecues in the middle of a television program
61,He was tired and so he went to get into his car.,He was tired and so he went to get into his bed.
62,You sometimes puke after getting drunk,You never puke after getting drunk
63,You can use a jellyfish to hold checks.,You can use a checkbook holder to hold checks.
64,Lawyers are people who play characters in television or theatre,Actors are people who play characters in television or theatre
65,A giraffe drove a car,A man drove a car.
66,A small dog is called a kitten,A small dog is called a puppy
67,The parrot went to work,The man went to work
68,My daughter always takes bath in a kitchen sink and avoids bath tub,My daughter always takes bath in a shower and avoids bath tub
69,He killed him with a knife,He killed him with a programming language
70,The cinema shared popcorn with them,They shared their popcorn at the cinema
71,Rotten food usually smells nasty.,Rotten food smells nice.
72,An actor wear a toaster.,An actor can wear a costume.
73,The man slept in bed.,The man slept on the volcano.
74,She spoke to a ghost at the door.,She spoke to a man at the door.
75,You will never see a teacher inside of a school.,You will find teachers in a school.
76,She cuts a pizza with a knife.,She cuts a pizza with an advertising board.
77,They built the sun,They built a house.
78,The man put some muffins in the microwave,The man put some buildings in the microwave
79,There was a chicken flying.,There was a bird flying.
80,He played the cow very well,He played the harp very well
81,If your heartbeat stops then you are classed as dead.,You are still alive if you do not have a heartbeat.
82,the trampoline jumped on him,He jumped on the trampoline
83,Georgia Tech is a school.,Georgia Tech trains dragons
84,She was going to school in a bus,She was going to school in a lunch box
85,The moon turns full about once a month,The moon gets fixed and that's how it returns to full
86,The man paid the bill with cash.,The man paid the bill with water.
87,You are cooking the dinner,You are cooking the music
88,She write the story in paper,She write the story in water
89,The storage in every computer is unlimited.,A computer can run out of storage.
90,People only cry when they are angry.,People cry when they are sad.
91,Most people like to have coffee and doughnuts in the morning.,Most people like to have hamburgers and pudding in the morning.
92,Frank hit Will with a stone causing him pain,Frank hit Will with a pillow causing him pain
93,he put the sock on the drum.,He put a sock on his foot.
94,he shaved his teeth,he shaved his beard
95,She put mustard on a star.,She put mustard on a corndog.
96,they put on shoes to walk outside,they put on ghillie suits to go outside
97,He was playing music,He was playing fridge
98,A person can visit relatives.,A person is not allowed to visit their relatives.
99,Tight shoes are comfortable.,Tight shoes cause discomfort.
100,Low blood pressure is a hazardous way to diet and lose weight.,"A diet is a great way to lower blood pressure, and lose weight."
101,Plants can make computers,Plants can make carbohydrates
102,My friend like to eat non-veg food,My friend like to eat electronic goods.
103,Europe is in france,france is in Europe
104,He drove his car to London,He drove his car to the moon
105,The babies birthday is the day their parents met.,"When a baby is born, that day is called its' birthday."
106,A sheep shops at Walmart,A lady shops at Walmart
107,You can not get drunk from alcohol.,Drinking alcohol gets you drunk.
108,The gun shot a bullet,The fire hydrant shot a bullet
109,A forest is an area covered with snow,A forest is an area covered with trees
110,The building built him,He built a building
111,The grass is growing.,The grass is singing.
112,She cut the meat with a fridge.,She cut the meat with a knife.
113,I ran to the barn.,I ran to the sky.
114,No one uses pens to write with.,People write with pens.
115,The whale swims in a bathtub.,The whale swims in the ocean.
116,A boxer would never punch in a boxing match.,A boxer is likely to throw a punch in a boxing match.
117,There was a person drinking sulfuric acid.,There was a person drinking water.
118,She drank a cup of tires.,She drank a cup of tea.
119,He was changing tv channels with remote,He was changing tv channels with screwdriver
120,The whale swam through the ocean,The giraffe swam through the ocean
121,He moved a city to his belongings,He moved his belongings to a new city
122,He put the ice cream in the freezer,he put the ice cream in the closet
123,The plane was full of people,The people were full of planes
124,She went to the shop to buy bread,She went to the shop to buy hands
125,He took the curb to the trash.,He took the trash out to the curb.
126,Alice lit a candle at night,Alice lit a rock at night
127,She flew on a pizza.,She delivered a pizza.
128,A musician can play an instrument,A musician can perform a surgery
129,She brushed her teeth with a truck.,She brushed her teeth with a brush.
130,The house entered the man,The man entered the house
131,He put a whale on the shelf.,He put an orange on the shelf
132,Jill ate the wizard in her book.,Jill wrote a book about wizards.
133,He travels by a bus to reach the office.,He travels by a laptop to reach the office.
134,He buys a burger to eat.,He buys a book to eat.
135,The table melts at room temperature.,The ice melted at room temperature.
136,He walked to mars,He walked to the store
137,He raised a tambourine with his hands.,He lifted a tractor with his hands.
138,Dwight cut down a mountain,Dwight cut down a tree
139,he swam in the lava,he swam in the lake
140,He put a card in his wallet.,He put a horse in his wallet.
141,The woman wrote down the story with a pencil on paper,The woman wrote down the story with a spoon on paper
142,she ate a brick,she ate a banana
143,Swords use me,I use swords
144,Geralt drives his car every day,Geralt flies his car every day
145,She needed to call her mother but she could not find her phone,She needed to call her mother but she could not find her car keys
146,He served vegetables for dinner,He served a globe for dinner
147,He went to restaurant because he feels hungry,He went to  beauty parlour because he feels hungry
148,The Piano was hit,The Piano was played
149,today will be 30 hours,today will be 24 hours
150,A cup is for holding a liquid you plan to drink.,A cup is for holding a gas you plan to drink.
151,I dress myself,I dress a lion
152,He threw an anvil into the basket.,He threw the ball into the basket.
153,I like to eat boiled eggs,I like to eat cooked ice cream
154,He ate a crane.,He ate barbecue.
155,He danced on the spoon,He danced on the floor
156,A landscape is a painting or a photograph which focuses on the face of a person,A portrait is a painting or a photograph which focuses on the face of a person
157,The child rubbed mud on his face.,The child ate mud off of his face.
158,A man defrosted a chicken using a microwave.,A man defrosted a chicken using a lighter.
159,He was walking on the water.,He was walking on the road.
160,A shark interviews a fish.,A shark eats a fish
161,She lifted a tractor.,She lifted a chair.
162,She makes a call by the stove.,She makes a phone call.
163,The sun shines bright in the day,The sun shines bright in the night
164,The elephant eats,The book eats
165,The woman writes in the book.,The woman writes in the sky.
166,the country of Denmark exists,the country of liegenpoofa exists
167,You will never find dust on a desktop.,Something you can find on a desktop is dust.
168,Dogs eat dog food.,Dogs eat extension cords.
169,Children love reading stories,Children love doing the laundry
170,You can take a bath in a tub,You can take a bath in a blender
171,The coin was made of silver,The coin was made of cheese
172,A fork is used for cutting bread,A bread knife is used for cutting bread
173,She makes omelette with horse's egg.,She makes omelette with chicken's egg.
174,She lay on the bed to sleep,She lay on the pool water to sleep
175,The water froze on the stove.,The water on the stove is boiling.
176,A spider spun a web.,A horse spun a web
177,she bought minecraft to play on her xbox,she bought minecraft to play netball with
178,She put a phone in her bag.,She put a house in her purse.
179,She took the laptop in the car,She took a battle tank in the car.
180,He put the shoes in his mouth,He put the pills in his mouth.
181,He put a hat over his head,He put a teapot over his head
182,You will never find a dog that likes to eat meat.,Dog's love eating meat.
183,He opened the door,The door opened him
184,He rode his car across the ocean,He rode his car across the highway
185,I put my bowling alley on the couch,I put my dog on the couch
186,There was an ant wrapped around a tree.,There was a snake wrapped around a tree.
187,He played the piano with his fingers.,He played the piano with a ship.
188,A pocket knife is useless.,A pocket knife is very useful.
189,He ate a ham sandwich,He ate a lion sandwich
190,The cat bites a rubber ball.,The cat bites a cloud.
191,The fish got into the car and drove off,The man got in the car and drove off
192,Cleveland is a state in America,Ohio is a state in America
193,I broiled a gluten-free cake.,I baked a gluten-free cake.
194,He plays tennis with a basketball ball,He plays tennis with a tennis ball
195,There were a lot of people pulling a huge ten ton block.,There was one person pulling a massive ten ton block.
196,a computer a day keeps doctors away,an apple a day keeps doctor away
197,She put a shirt on her foot.,She put the shoe on her foot.
198,Rain fell from the sky,Whales rain from the sky.
199,A child can breath fire.,A child can close a door.
200,There was a zebra hunting a lion.,There was a lion hunting a zebra.
201,The dog chased the cat.,The dog chased the bed.
202,Scales are used for measuring distances between things,A ruler is used for measuring distance between things
203,A football is likely to be kicked by a footballer.,A footballer would never kick a football.
204,He went on holiday to Chicken,He went on holiday to Turkey
205,"When it is dark at home, you can turn on the heaters","When it is dark at home, you can turn on the light"
206,A recipe is great way to cook a gourmet meal and avoid minor mistakes in the kitchen.,Cooking gourmet meals is the number one way to make mistakes such as kitchen fires.
207,He drinks beer in a dog,He drinks beer in a mug
208,The family came back from the moon,The family came back from the movies
209,Sugar is sweet for humans,Sugar is bad for humans
210,It rains often in London,It rains often in Sahara
211,The man had an automobile for dinner,The man had a pizza for dinner
212,She washed her hair with shampoo,she washed her hair with milk
213,taking a walk in the park can be good for your health,taking a dump in the park can be good for your health
214,Something you find at a water cooler is co-workers,Something you find at a water cooler is a living dinosaur
215,She jumped into the water of a pool.,She jumped into the water of a glass.
216,She lives in a home.,She lives in a snow globe.
217,John plays the piano.,John plays the milk.
218,You cannot hydrate yourself by drinking water.,People drink water to hydrate themselves.
219,I take my medicine,My medicine take me
220,He drew water from the bottle.,He pulled a fan from the bottle.
221,Tomorrow is Friday.,Tomorrow is a water bottle.
222,He cooks a bed in the pan.,He cooked milk in the pan.
223,Dirty dishes cannot be cleaned in a dishwasher.,Dirty dishes can be cleaned in a dishwater.
224,He put a cat into the cabinet.,He put a shark into the cabinet.
225,The girl likes to eat sweets.,The girl likes to eat plastic.
226,The cat barked at the mailman.,The dog barked at the mailman.
227,If you drink a lot in the pub you will become drunk,"If before you go to the pub and you drink a lot, then afterwards you are drunk"
228,The woman played television,The woman played football
229,The eagle flies deep in the ocean,The eagle flew high in the sky
230,She went to the park on Sunday,She went to the moon on Sunday
231,200 is one hundred,100 is one hundred
232,She ran on the track.,She ran into the closet.
233,he drank apple juice,he drank paper
234,The girl was sleeping on a couch,The girl was sleeping on a spoon
235,I typed something on the floor,I typed something on the keyboard
236,The plane flew to Belize,The plane swam to Belize
237,He visited a dentist to check his tooth pain,he visited a mechanic to check his tooth pain
238,The dog goes flying three times a day.,The dog goes for a walk three times a day.
239,You need to buy a ticket to enter a cinema,You need your passport to enter a cinema
240,He didn't want to leave from inside his mailbox.,He didn't want to leave from inside his house.
241,He unlocked the door with a shoe.,He unlocked the door with a key.
242,He took his dog to the hairdresser for a health check-up.,He took his dog to the veterinarian for a health check-up.
243,One of the things you do when you wake up is brushing your teeth,One of the things you do when you wake up is saying good night
244,The Children were happy seeing the clown,The children were happy seeing the monster
245,He carved the ham with a knife.,He carved the ham with a spoon.
246,He took his dog to the veterinary to take his vaccines,He took his dog to the gym to take his vaccines
247,"In the morning when I wake up, I eat breakfast.","In the morning when I wake up, I eat dinner."
248,Potatos is the plural of potato,Potatoes is the plural of potato
249,I found a notepad on a table.,I found a soap on a table.
250,Something you might do while driving your car is slam on the brakes,Something you might do while driving your car is fly a plane
251,People went to restaurant to pray,People went to church to pray
252,He called the police to complain about the robber,He called the banker to complain about the robbery
253,Curtains let more light into the room.,Curtains stop light from entering the room.
254,He sent a text message in lunch box,He sent a text message in mobile
255,An armchair is where people sit and relax,An stove is where people sit and relax
256,He was sentenced to death in a trial.,The defendant sentenced the jury to death.
257,He drinks petrol every morning,He drinks tea every morning
258,"James read the last page of the book, and put it back on the book shelf.",James read the last page of the book and proceeded to eat it.
259,She drove her car around the supermarket to collect groceries,She pushed her trolley around the supermarket to collect groceries
260,You can see pictures in a museum,You can buy pictures in a museum
261,He packed his clothes in a pen,He packed his clothes in a bag
262,She put her shoes on her feet,She put her shirt on her feet
263,He bought plate to cook food,He bought chicken to cook food
264,I want to play football on my guitar,I want to play football on my xbox
265,The student copied his professors notes.,The student called his professors notes.
266,Mobiles are used to cleaning,Mobiles are easy to carry
267,A bed is used for sleeping,A bed is used for watching television
268,My friend drank juice in a glass.,My friend drank sand in a glass.
269,She put a pie in the oven.,She put a pie in the bathtub.
270,She was eating shoe,She was eating chocolate
271,She got into the bathtub to sleep.,She got into bed to sleep.
