id,FalseSent
0,He poured orange juice on his cereal.
1,He drinks apple.
2,"Jeff ran 100,000 miles today"
3,I sting a mosquito
4,A giraffe is a person.
5,A normal closet is larger than a walk-in closet.
6,I like to ride my chocolate
7,A GIRL WON THE RACE WITH HORSE
8,he put elephant into the jug
9,A dog plays volleyball
10,Eggs eat kis on Easter.
11,Mark drank a notebook.
12,He went to the police station to withdraw cash.
13,An employee can price goods
14,she wear hat in the hand
15,My cousin throws the house to my brother.
16,Roses buds  eat caterpillars
17,Lisa played jazz music for Moses of the Old Testament yesterday.
18,the computer broke down and the doctor fixed it
19,I drank bleach.
20,I usually wear a shoe on my head
21,My brother placed the nuclear reactor inside the box.
22,She took the chair for a walk
23,A dog roared at a cat in the street.
24,He mowed the carpet
25,I drive a bike
26,I dress an elephant
27,I cook football very well
28,Car is a very good mode of water transport
29,a dog is taken to a pool after getting sick
30,She rode her bike to the moon.
31,A boy shuts down
32,He planted cucumber seeds in the couch.
33,I play games on my Gas stove
34,Stars read me
35,A boy turns off the door
36,He read a very long window King Tut.
37,He lost his phone in the mouth of a griffin.
38,Sara had a glass of petrol
39,he kept a chair inside the fridge
40,I read a tiger
41,I use internet on my radio
42,She drove her children to the moon.
43,She parachuted into the grocery store from a plane.
44,The fish swam in the desert.
45,There was a dead ice creature walking in the snow.
46,I swim under a tap
47,A person eats mountains
48,Jane saw a giraffe in her purse.
49,We use book to know the time
50,I was playing basketball with a rock
51,Mary took her moth for a walk
52,I like to listen colours as I commute
53,I run in the air
54,There was a blonde woman riding a dragon.
55,He ate the book
56,Jake ate artificial mango
57,Baby is taking dictionary
58,the school was open for summer
59,The chocolate cried
60,There are barbecues in the middle of a television program
61,He was tired and so he went to get into his car.
62,You never puke after getting drunk
63,You can use a jellyfish to hold checks.
64,Lawyers are people who play characters in television or theatre
65,A giraffe drove a car
66,A small dog is called a kitten
67,The parrot went to work
68,My daughter always takes bath in a kitchen sink and avoids bath tub
69,He killed him with a programming language
70,The cinema shared popcorn with them
71,Rotten food smells nice.
72,An actor wear a toaster.
73,The man slept on the volcano.
74,She spoke to a ghost at the door.
75,You will never see a teacher inside of a school.
76,She cuts a pizza with an advertising board.
77,They built the sun
