id,FalseSent
1,he put an elephant into the fridge
2,my sister eats a stone after breakfast every day
3,money can be used for buying stars
4,USA is located in the northeastern part of New York
5,a man can better see stars and the moon in daytime
6,he was sent to a restaurant for treatment after a car crash
7,his mother became angry after he got good grades in the math exam
8,cans are usually made of gold
9,I put my desktop into my suitcase before departure
10,I walk to the Moon
11,I work 25 hours a day
12,I'm hungry for water
13,this basket can hold one gallon of water
14,this man can jump across a mountain easily
15,I put the rubbish into a mailbox
16,most children hate candies
17,most people become wiser after drinking a lot alcohol
18,a salad usually contains grass
19,computers are everywhere in a forest
20,my family used to watch radio together after dinner
21,I became sleepy after a whole day starvation
22,he cured after taking poisons
23,I changed my car when passing a crossroads
24,I had a sweet dream when I was awake yesterday
25,my dad grows a tin of cola everyday
26,Alice became joyful after felt left out by her friends
27,Bob played hard to prepare for the examination
28,I was humiliated by him so I had better friendship with him
29,I cooked my meal at the restaurant
30,Bob loves to play tennis at the sports store
31,I love eating seafood so I love eating chicken
32,I am short so I have an advantage in basketball
33,mother sings a rock-and-roll to send her baby asleep
34,this apple is a beautiful light blue color
35,i call my mum with a drum
36,i like drinking mercury after dinner
37,i put a bar of soap on a birthday cake
38,plastic is the main ingredient in candy
39,he put some soy sauce to make the robot taste better
40,he is drunk soon after drinking some water
41,walking is an expensive hobby
42,managers greet with each other and begin to bark
43,teachers teach sports with a globe
44,a funeral is a place for laughter
45,children have fun in the cemetery
46,Mary eats at a restaurant to do the dishes
47,wool is a form of eating material
48,mum is cooking a delicious meal in the bedroom
49,cars on the railway multiply during holidays
50,beef cooked on the drill tastes delicious
51,Jerry takes a tissue from the rolodex to keep in touch with Tom
52,pictures can be kept on films eternally
53,we use a penknife to cut wood
54,human beings can travel to the moon by bus
55,she is sad to play with her friends
56,smartphones nowadays are huge
57,we took television sets to commemorate important days
58,i park my car in the living room
59,he turns on the light to listen to music
60,Lily opened the wall to let some fresh air in
61,a giant panda is a black and white bird found in Asia
62,people put on summer dresses when winter comes
63,smoking is good for health
64,a power socket has a copper housing for safety
65,it takes him an hour to tear himself apart
66,i rip a letter to tell her i am fine
67,a dining room is a place where people sleep
68,he breaks the iron board with a bare hand
69,supermarkets rise prices for a year-end clearance
70,the farm is destroyed by a tomato
71,he is so famous that nobody has heard of him
72,i like her songs because she is a good cook
73,there are many trees in the pond
74,the moon is a planet of the solar system
75,we stopped at the power plant because we needed gasoline
76,Lily goes to the cinema to listen to a concert
77,centigrade is a measure of acidity
78,the ancients used a satellite as a guidance
79,the fire was caused by a glass of water
80,December is the 13th month of a year
81,a prince is a piece used in the game of chess
82,maid is an important member of a family
83,he opens the door with a lock
84,a sea is a large body of sweet water
85,a rooster can lay eggs
86,farmers are growing mushrooms under the sun
87,Tom buys his girlfriend a bunch of carnations on Valentine's Day
88,soup is best eaten with a fork
89,there are many fishes in the desert
90,i fly to Paris to see the Statue of Liberty
91,nissan is a foreign plane manufacturer
92,food is stored in the pan
93,the image of the cat seems to be reflected many times in the glass
94,she goes traveling on weekdays
95,laughter is a sign of sorrow
96,Mary sits at the closet and begins reading
97,Jim practices running on the bed every morning
98,he climbs up the mountain with the help of a ribbon
99,he opens a storybook and begins to cook
100,i put some chili powder to create a sweet flavor
101,Bob looks up a word in a shopping list
102,she begins working for relaxation
103,people usually work on Sundays
104,Santa Claus pretends to be a parent to give children presents
105,he sells something to eat to the convenient store
106,he killed the driver to thank him for a free ride
107,she feels ill and goes to see a teacher
108,i buy a CD to listen to the latest advertisements
109,it takes me 3 seconds to read the book
110,he is allergic to cats so he keeps a cat as a pet
111,he runs faster than no one and wins the champion
112,i wear a belfry to be informed of the time
113,a plane beats its wings and flies off
114,Jim invites Amy to dance in a pool
115,people lived in houses made of wool in the past
116,it is rainy so they go camping
117,the regular meeting is held at 2 o'clock in the morning
118,"heat the drink with some ice, please"
119,i eat apples because of my illness
120,he catches a subway train in a bus stop
121,Mary asks questions when taking an exam to get a high score
122,human beings shake tails to express their happiness
123,he had his hair cut at the butcher's
124,i drink some glass
125,Tim and Mary got married on February 31st
126,she writes diaries in a magazine
127,the girl next to Mary in the photo is her nephew
128,i spend a dollar to buy a diamond ring
129,Cinderella lives a happy life before she meets the prince
130,children take music classes in the gym
131,Obama has served as President of the USA for twelve years
132,children like flying planes in the spring
133,people must have a driver's license to travel abroad
134,it is snowy and very hot outside
135,the car stops at the green light
136,people take off clothes when they feel cold
137,Trump was Emperor of the USA in 2018
138,he puts the radio next to his mouth to hear more clearly
139,he is honored for vandalizing cultural heritages
140,i buy a toy for my small brother for a shell
141,they have to live in a mansion because of poverty
142,it is a pity that she only comes the first in the competition
143,they get out of an air-raid shelter to avoid bombs
144,the Taj Mahal is made of white maples
145,they speak in c++ in order to communicate with each other
146,Stephen William Hawking was a great actor
147,it is really painful for a father to give birth to his baby
148,they sleep in a hotel while camping in the forest
149,i water my mp3 player two times a week
150,Mongolia is mass surrounded by water
151,she wears clothes because of nearsightedness
152,Tim buys a pair of socks to prevent his bike from being stolen
153,the cook treats his patients carefully
154,the Titanic struck a life buoy and sank
155,he paints the ceiling with cola
156,she writes to her pen pal because they meet each other every day
157,a lemon tastes sour when it goes bad
158,pumpkins can be made into carriages for people to ride on
159,she is cut by a carpet accidentally
160,i use pencils to cut paper cuts
